1 & 0,0010 & 0,04 & 0,0158 & \\
2 & 0,0075 & 0,32 & 0,1229 & \\
3 & 0,0141 & 0,61 & 0,231 & \\
4 & 0,0176 & 0,76 & 0,286 & \\
5 & 0,0227 & 0,98 & 0,369 & \\
6 & 0,0279 & 1,21 & 0,456 & \\
7 & 0,0325 & 1,41 & 0,530 & \\
8 & 0,0375 & 1,64 & 0,611 & \\
9 & 0,0423 & 1,86 & 0,691 & \\
10 & 0,0473 & 2,09 & 0,772 & \\
11 & 0,0520 & 2,31 & 0,849 & \\
12 & 0,0567 & 2,53 & 0,926 & \\
13 & 0,0612 & 2,75 & 1,00 & \\
14 & 0,0659 & 2,98 & 1,07 & \\
15 & 0,0703 & 3,20 & 1,14 & 0,313 & \\
16 & 0,0745 & 3,42 & 1,21 & \\
17 & 0,0790 & 3,65 & 1,29 & \\
18 & 0,0830 & 3,87 & 1,36 & \\
19 & 0,0870 & 4,09 & 1,42 & \\
20 & 0,0909 & 4,31 & 1,48 & \\
21 & 0,0946 & 4,53 & 1,55 & \\
22 & 0,0986 & 4,76 & 1,61 & \\
23 & 0,1021 & 4,98 & 1,67 & \\
24 & 0,1056 & 5,21 & 1,73 & \\
25 & 0,1090 & 5,43 & 1,79 & \\
26 & 0,1123 & 5,66 & 1,84 & \\
27 & 0,1155 & 5,88 & 1,90 & \\
28 & 0,1185 & 6,11 & 1,95 & \\
29 & 0,1216 & 6,33 & 2,00 & \\
30 & 0,1246 & 6,56 & 2,05 & \\
